City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Jackson,US,42.4165,-122.8345,75.04,45,0,1.01,clear sky
129,Cherbourg,FR,49.6386,-1.6147,69.51,68,100,4.61,overcast clouds
130,Dunedin,NZ,-45.8742,170.5036,47.8,84,95,7.0,overcast clouds
131,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,45,15.97,light rain
132,Hithadhoo,MV,-0.6,73.0833,81.82,70,100,5.21,overcast clouds
133,Uyuni,BO,-20.4597,-66.825,51.64,24,100,8.99,overcast clouds
134,Bethel,US,41.3712,-73.414,90.05,69,0,5.75,clear sky
135,Bria,CF,6.5423,21.9863,79.02,87,100,1.99,light rain
136,Tommot,RU,58.9564,126.2925,60.22,93,1,2.71,clear sky
137,Turbat,PK,26.0023,63.044,86.81,67,90,14.03,overcast clouds
138,Kisanga,TZ,-7.4362,37.7034,77.31,56,84,0.34,broken clouds
139,Puerto Ayora,EC,-0.7393,-90.3518,73.36,92,86,7.0,overcast clouds
140,Saint-Francois,FR,46.4154,3.9054,83.68,42,0,8.05,clear sky
141,Santa Rosa,PH,14.3122,121.1114,81.01,79,100,7.9,overcast clouds
142,Maun,BW,-19.9833,23.4167,75.16,41,0,8.05,clear sky
143,Luderitz,NA,-26.6481,15.1594,66.7,52,0,15.19,clear sky
144,Brae,GB,60.3964,-1.353,54.88,76,23,12.21,few clouds
145,Qasigiannguit,GL,68.8193,-51.1922,62.85,73,100,5.32,overcast clouds
146,Leningradskiy,RU,69.3833,178.4167,33.21,98,100,14.03,light snow
147,Saint-Pierre,RE,-21.3393,55.4781,69.48,69,20,6.91,few clouds
148,Tiznit,MA,29.5833,-9.5,103.91,10,53,6.08,broken clouds
149,Gimbi,ET,9.1667,35.8333,61.36,91,70,1.86,light rain
150,Airai,TL,-8.9266,125.4092,56.41,91,96,3.02,overcast clouds
151,Kaitangata,NZ,-46.2817,169.8464,43.45,88,100,5.57,overcast clouds
152,Auki,SB,-8.7676,160.7034,77.05,88,78,3.98,broken clouds
153,Asfi,MA,32.2994,-9.2372,81.59,59,3,23.85,clear sky
154,Atherton,GB,53.5237,-2.4935,69.26,65,96,1.01,overcast clouds
155,Nogales,MX,31.3086,-110.9422,76.71,78,0,0.0,clear sky
156,Talnakh,RU,69.4865,88.3972,58.21,72,18,8.68,light rain
157,Durango,MX,24.8333,-104.8333,75.61,35,3,4.14,clear sky
158,Vanimo,PG,-2.6741,141.3028,78.91,84,100,2.1,moderate rain
159,Coutances,FR,49.05,-1.4333,74.61,53,61,9.13,broken clouds
160,Hokitika,NZ,-42.7167,170.9667,41.13,72,0,7.4,clear sky
161,Vaini,TO,-21.2,-175.2,74.1,75,4,9.35,clear sky
162,Beyneu,KZ,45.3167,55.2,98.15,17,90,16.33,overcast clouds
163,Suluq,LY,31.6682,20.2521,86.81,34,0,20.58,clear sky
