City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Chulumani,BO,79.54,overcast clouds,-16.4096,-67.5263,Hotel Cabanas Paradise
302,Cayenne,GF,87.84,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
303,Buala,SB,79.93,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
306,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
307,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
309,Nantucket,US,78.94,fog,41.2835,-70.0995,Jared Coffin House
311,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
312,Kanniyakumari,IN,79.45,few clouds,8.0833,77.5667,Sparsa Kanyakumari
313,Kulhudhuffushi,MV,81.55,overcast clouds,6.6221,73.07,Haajy Guest House 1
315,Zhuhai,CN,85.78,clear sky,22.2769,113.5678,珠海粤财假日酒店
316,Banda Aceh,ID,81.14,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
320,Tautira,PF,75.13,light rain,-17.7333,-149.15,Pension Oaoa
321,Tucumcari,US,82.94,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
323,Uruguaiana,BR,76.93,clear sky,-29.7547,-57.0883,Fares Turis Hotel
331,Erenhot,CN,85.3,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
332,Pecos,US,87.89,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
333,Dingle,PH,77.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
334,Gillette,US,82.11,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
335,Feldkirchen,DE,76.33,broken clouds,48.148,11.7434,Hotel NH München Ost Conference Center
336,Lorengau,PG,80.17,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
337,Porto Belo,BR,75.18,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
339,Shingu,JP,77.94,broken clouds,33.7333,135.9833,Shingu UI Hotel
340,Puerto Narino,CO,84.38,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
341,San Ignacio,BZ,84.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
343,Goderich,CA,75.9,few clouds,43.7501,-81.7165,Harmony Inn
344,Bonthe,SL,78.03,light rain,7.5264,-12.505,Bonthe Holiday Village
345,Mastung,PK,87.53,scattered clouds,29.7994,66.845,Al Hasnan Cold Drink Santer
346,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
351,Srandakan,ID,75.94,broken clouds,-7.9386,110.2506,Puri Brata
353,Sao Jose Da Coroa Grande,BR,78.15,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
356,Bhawanigarh,IN,79.21,broken clouds,30.2667,76.035,Sanjhi Rasoi
357,Varzea Da Palma,BR,84.56,clear sky,-17.5981,-44.7308,Casa Fernandes
359,Salinopolis,BR,86.2,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
364,Isangel,VU,76.08,few clouds,-19.55,169.2667,Tanna Lodge
366,Ambon,ID,78.24,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
368,Roma,US,86.68,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
373,Barra Do Garcas,BR,88.38,clear sky,-15.89,-52.2567,Pousada Tropical
374,Manggar,ID,81.28,broken clouds,-2.8833,108.2667,Guest Hotel
375,San Vicente,AR,77.25,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
376,Golden,US,86.97,few clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
381,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
384,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
385,Hobyo,SO,76.87,broken clouds,5.3505,48.5268,Iftin hotel hobyo
395,Cascais,PT,87.66,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
398,Ponta Do Sol,PT,82.71,clear sky,32.6667,-17.1,Hotel do Campo
399,Zhezkazgan,KZ,86.94,scattered clouds,47.8043,67.7144,Hotel Zumrat
402,Falakata,IN,80.08,light rain,26.5208,89.2055,Hotel Nandanik Palace
403,Barmer,IN,87.39,overcast clouds,25.75,71.3833,Jain Dharamshala
404,Tarrafal,CV,84.99,overcast clouds,15.2833,-23.7667,Hotel Ixola
409,Zlitan,LY,83.84,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
410,Road Town,VG,80.69,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
413,Santo Antonio Do Sudoeste,BR,75.34,broken clouds,-26.0736,-53.7253,Hotel Frontera
416,Yining,CN,79.79,overcast clouds,29.0361,114.5636,Xiushui Hotel
420,Kamina,CD,77.81,overcast clouds,-8.7386,24.9906,Guest House Florvia
424,Shenjiamen,CN,79.0,moderate rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
425,Kralendijk,BQ,85.98,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
426,Isiolo,KE,75.31,broken clouds,0.3546,37.5822,Gaddisa Hotel
432,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
435,Ixtapa,MX,88.23,broken clouds,20.7,-105.2,hotel la terminal
437,Willmar,US,78.82,clear sky,45.1219,-95.0433,Lakeview Inn
439,Niquelandia,BR,88.5,few clouds,-14.4739,-48.4597,Hotel Suinã
440,Tual,ID,78.19,broken clouds,-5.6667,132.75,Grand Vilia Hotel
443,Amuntai,ID,75.9,overcast clouds,-2.4177,115.2494,Hotel Balqis
444,Halifax,CA,84.52,broken clouds,44.6453,-63.5724,Hotel Halifax
447,Pedasi,PA,80.06,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
449,Mandera,KE,87.87,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
451,Darnah,LY,79.41,clear sky,32.767,22.6367,فندق الفردوس
452,Sorong,ID,78.21,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
454,Mirzapur,IN,82.36,heavy intensity rain,25.15,82.5833,Hotel Yash Inn
456,Loukhi,RU,77.05,broken clouds,66.0764,33.0381,Хостел Северяночка
457,Sibolga,ID,77.22,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
459,Caravelas,BR,78.19,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
465,Upington,ZA,75.58,clear sky,-28.4478,21.2561,River Place Manor
466,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
467,Maloh,PH,82.51,overcast clouds,9.056,122.9851,Centralle District Beach Resort
468,Karpathos,GR,76.96,clear sky,35.507,27.2132,Alex
470,Domokos,GR,88.65,clear sky,39.1272,22.3003,ΜΗΤΡΟΠΟΛΗ ΦΘΙΩΤΙΔΑΣ
471,Marshall,US,87.37,broken clouds,34.3834,-86.3333,Riverview Campground
475,Russell,US,87.96,overcast clouds,32.3502,-85.1999,Macs
480,Aksu,CN,84.7,clear sky,41.1231,80.2644,Pudong Holiday Hotel
481,Kerema,PG,76.82,overcast clouds,-7.9631,145.7785,Frena Lodge
483,Labuhan,ID,76.24,broken clouds,-6.8844,112.2051,DoubleFAG
486,Mitsamiouli,KM,79.09,scattered clouds,-11.3847,43.2844,Foyer ADM
491,Wlodawa,PL,81.95,clear sky,51.55,23.55,Ośrodek Wypoczynkowy Ranczo
495,Lardos,GR,86.95,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
496,Kandrian,PG,76.41,few clouds,-6.2167,149.55,Kandrian Station
498,King City,US,87.91,clear sky,36.2127,-121.126,Days Inn by Wyndham King City
500,Loandjili,CG,77.11,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
504,Sungairaya,ID,78.89,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
508,Carutapera,BR,88.57,scattered clouds,-1.195,-46.02,Lidera
516,Sokoni,TZ,75.52,clear sky,-6.4333,39.55,Ujamaa Beach Resort
517,Bud,US,84.92,clear sky,39.447,-86.1758,Ted McQuinn Trust
525,Nicoya,CR,80.82,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
528,Guacimo,CR,82.62,overcast clouds,10.2104,-83.6807,Hotel Los Ríos
530,Nabire,ID,76.39,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
533,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
534,Griffith,US,87.89,clear sky,41.5284,-87.4237,Apartment above Depot Bar
537,Tura,IN,75.88,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
538,Bubaque,GW,78.62,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
542,Korla,CN,81.68,clear sky,41.7597,86.1469,Gulisitan Hotel
543,Shubarkuduk,KZ,79.25,broken clouds,49.1447,56.4872,Sirius
544,Nantong,CN,81.99,scattered clouds,32.0303,120.8747,Overseas Chinese Hotel Nantong
545,Poso,ID,76.28,broken clouds,-1.3959,120.7524,Hotel 77 Poso
548,Rincon,US,85.95,broken clouds,32.296,-81.2354,Days Inn Rincon
550,Buchanan,LR,78.69,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
555,Sur,OM,89.33,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
556,Ugoofaaru,MV,82.18,overcast clouds,5.6667,73.0,Ungoofaaru Inn
564,Challakere,IN,78.48,overcast clouds,14.3167,76.65,SR Residency
569,Ternate,ID,79.97,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
571,Kaohsiung,TW,86.04,broken clouds,22.6163,120.3133,御宿商旅-中山館
572,Lityn,UA,75.16,few clouds,49.3251,28.0809,«Родинний Затишок»
578,Luganville,VU,77.45,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
579,Boyuibe,BO,87.39,scattered clouds,-20.4167,-63.2833,Residencial Eluzai
583,Williston,US,76.8,clear sky,48.147,-103.618,Hampton Inn & Suites Williston
584,Kodinar,IN,81.48,overcast clouds,20.7903,70.7031,residency of N.B vadhel
588,Hirara,JP,84.92,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
590,Vidalia,US,82.51,overcast clouds,32.2177,-82.4135,Quality Inn & Suites
593,Shilong,CN,89.01,clear sky,23.1123,113.8425,Cinese Hotel Dongguan Shijie
595,Belmonte,BR,76.42,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
597,Paratebueno,CO,75.83,overcast clouds,4.3758,-73.2155,Casa Hotel Paratebueno
599,Kouroussa,GN,79.43,broken clouds,10.65,-9.8833,Hotel Tando Plus
602,Thiers,FR,84.52,clear sky,45.8333,3.5,Hôtel Eliotel
608,Bongouanou,CI,81.37,overcast clouds,6.6486,-4.1992,Hotel du Lac
613,Skeldon,GY,84.24,light rain,5.8833,-57.1333,Classic International Hotel & Suites
614,Peru,US,83.59,clear sky,40.7537,-86.0689,Cole Porter Inn
620,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
622,Coahuayana,MX,89.4,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
623,Santander,ES,77.72,few clouds,43.4647,-3.8044,Abba Santander Hotel
624,Trinidad,BO,85.98,clear sky,-14.8333,-64.9,Hotel Piesta
625,Kieta,PG,79.81,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
628,Tanabe,JP,77.92,broken clouds,33.7333,135.3667,美吉屋旅館
632,Porosozero,RU,79.92,scattered clouds,62.7191,32.727,Porosozero
635,Sumenep,ID,79.45,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
636,Almeirim,BR,88.21,broken clouds,-1.5233,-52.5817,Ricácio Hotel
637,San Policarpo,PH,81.91,clear sky,12.1791,125.5072,Agapita M. Nicart
638,Gouyave,GD,83.17,broken clouds,12.1646,-61.7296,Rumboat Retreat
640,Samana,DO,84.42,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
642,Basco,PH,85.26,clear sky,20.4487,121.9702,Nathaniel's Lodge
646,Xihe,CN,79.47,overcast clouds,31.6864,113.4659,Junyi Apartment Guest Room
649,Trairi,BR,82.92,overcast clouds,-3.2778,-39.2689,janelas do mar
652,Chippewa Falls,US,79.9,broken clouds,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
656,Maues,BR,83.89,overcast clouds,-3.3836,-57.7186,Hotel Miramar
659,Praia Da Vitoria,PT,79.05,few clouds,38.7333,-27.0667,Hotel Branco I
661,Morehead,US,84.99,clear sky,37.2711,-87.1764,CCI Express Inn
662,Korhogo,CI,82.98,broken clouds,9.45,-5.6333,Hôtel Tchinbota
664,Hami,CN,78.66,clear sky,42.8,93.45,Laoyutang Resort
665,Thiruvananthapuram,IN,80.58,mist,8.4833,76.9167,Hotel Residency Tower
667,Teluknaga,ID,84.18,haze,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
